Algorithm,DataType,Size,Iterations,AvgTime_ns,ArrayMemory_bytes,ExtraMemory_bytes,TotalMemory_bytes
QuickSort,FewUnique,500,1000,22407,2000,143,2143
HeapSort,FewUnique,500,1000,55166,2000,12,2012
BubbleSort,Random,1000,100,3570924,4000,12,4012
InsertionSort,Random,1000,100,585397,4000,12,4012
SelectionSort,Random,1000,100,1293890,4000,12,4012
MergeSort,Random,1000,1000,224982,4000,4000,8000
QuickSort,Random,1000,1000,76242,4000,159,4159
HeapSort,Random,1000,1000,154882,4000,12,4012
BubbleSort,Sorted,1000,100,0,4000,12,4012
InsertionSort,Sorted,1000,100,10267,4000,12,4012
SelectionSort,Sorted,1000,100,1269795,4000,12,4012
MergeSort,Sorted,1000,1000,193915,4000,4000,8000
QuickSort,Sorted,1000,1000,20032,4000,159,4159
HeapSort,Sorted,1000,1000,147773,4000,12,4012
BubbleSort,Reverse,1000,100,4734590,4000,12,4012
InsertionSort,Reverse,1000,100,1137750,4000,12,4012
SelectionSort,Reverse,1000,100,1321756,4000,12,4012
MergeSort,Reverse,1000,1000,194478,4000,4000,8000
QuickSort,Reverse,1000,1000,22281,4000,159,4159
HeapSort,Reverse,1000,1000,144491,4000,12,4012
BubbleSort,NearlySorted,1000,100,1632675,4000,12,4012
InsertionSort,NearlySorted,1000,100,65268,4000,12,4012
SelectionSort,NearlySorted,1000,100,1241212,4000,12,4012
MergeSort,NearlySorted,1000,1000,203684,4000,4000,8000
QuickSort,NearlySorted,1000,1000,20289,4000,159,4159
HeapSort,NearlySorted,1000,1000,149456,4000,12,4012
BubbleSort,FewUnique,1000,100,3178600,4000,12,4012
InsertionSort,FewUnique,1000,100,527104,4000,12,4012
SelectionSort,FewUnique,1000,100,1309483,4000,12,4012
MergeSort,FewUnique,1000,1000,205911,4000,4000,8000
QuickSort,FewUnique,1000,1000,53371,4000,159,4159
HeapSort,FewUnique,1000,1000,153324,4000,12,4012
BubbleSort,Random,5000,10,98536780,20000,12,20012
InsertionSort,Random,5000,10,14891840,20000,12,20012
SelectionSort,Random,5000,10,31967240,20000,12,20012
MergeSort,Random,5000,100,1278057,20000,20000,40000
QuickSort,Random,5000,100,577160,20000,196,20196
HeapSort,Random,5000,100,1035447,20000,12,20012
BubbleSort,Sorted,5000,10,0,20000,12,20012
InsertionSort,Sorted,5000,10,0,20000,12,20012
SelectionSort,Sorted,5000,10,32262590,20000,12,20012
MergeSort,Sorted,5000,100,1030732,20000,20000,40000
QuickSort,Sorted,5000,100,111542,20000,196,20196
HeapSort,Sorted,5000,100,932843,20000,12,20012
